direction,direction_name,task,task_display_name,task_name,family,relationship,primary_direction,metric_name,minimal_metric,neural_mlp_metric,better_baseline,why,current_limit
C,Egocentric Vision & Interaction,timeline_action,Action Recognition,Timeline action recognition,supervised,direct,C,macro-F1,0.05,0.0148148148148,minimal,Reads egocentric sensor state as the current human action; also provides a weak human-motion readout.,Chronological single-episode split creates unseen future action classes.
A,Human Modeling & Motion Understanding,timeline_action,Action Recognition,Timeline action recognition,supervised,proxy,C,macro-F1,0.05,0.0148148148148,minimal,Reads egocentric sensor state as the current human action; also provides a weak human-motion readout.,Chronological single-episode split creates unseen future action classes.
C,Egocentric Vision & Interaction,timeline_subtask,Procedure Step Recognition,Timeline subtask recognition,supervised,direct,C,macro-F1,0.0505635551385,0.0281081081081,minimal,Segments egocentric task state and provides a first proxy for symbolic world/task state.,Single-episode ordering makes future subtasks hard to generalize.
D,Scene Reconstruction & World Modeling,timeline_subtask,Procedure Step Recognition,Timeline subtask recognition,supervised,proxy,C,macro-F1,0.0505635551385,0.0281081081081,minimal,Segments egocentric task state and provides a first proxy for symbolic world/task state.,Single-episode ordering makes future subtasks hard to generalize.
C,Egocentric Vision & Interaction,transition_detection,Action Boundary Detection,Action transition detection,diagnostic,direct,C,macro-F1,0.611823759063,0.586206896552,minimal,Localizes egocentric task boundaries and diagnoses temporal state changes.,"Boundary class is sparse, so accuracy alone is misleading."
D,Scene Reconstruction & World Modeling,transition_detection,Action Boundary Detection,Action transition detection,diagnostic,diagnostic,C,macro-F1,0.611823759063,0.586206896552,minimal,Localizes egocentric task boundaries and diagnoses temporal state changes.,"Boundary class is sparse, so accuracy alone is misleading."
C,Egocentric Vision & Interaction,next_action,Next-Action Prediction,Short-horizon next action,supervised,direct,C,macro-F1,0.0592592592593,0.0418604651163,minimal,Tests action intention/task-flow prediction from egocentric context.,Unseen future labels dominate the single-episode chronological test.
D,Scene Reconstruction & World Modeling,next_action,Next-Action Prediction,Short-horizon next action,supervised,proxy,C,macro-F1,0.0592592592593,0.0418604651163,minimal,Tests action intention/task-flow prediction from egocentric context.,Unseen future labels dominate the single-episode chronological test.
A,Human Modeling & Motion Understanding,hand_trajectory_forecast,Hand Trajectory Forecasting,Hand trajectory forecasting,forecast,direct,A,MPJPE,0.864657044411,0.107850186527,neural_mlp,Directly predicts human hand motion and supports hand-object interaction modeling.,Forecasting is window-level and not yet a full sequence or policy model.
C,Egocentric Vision & Interaction,hand_trajectory_forecast,Hand Trajectory Forecasting,Hand trajectory forecasting,forecast,proxy,A,MPJPE,0.864657044411,0.107850186527,neural_mlp,Directly predicts human hand motion and supports hand-object interaction modeling.,Forecasting is window-level and not yet a full sequence or policy model.
A,Human Modeling & Motion Understanding,contact_prediction,Contact State Prediction,Body/object contact prediction,supervised,direct,A,macro-F1,1,1,tie,"Targets physical interaction state, a core affordance and manipulation signal.",The public sample is degenerate for this target because one class dominates.
C,Egocentric Vision & Interaction,contact_prediction,Contact State Prediction,Body/object contact prediction,supervised,proxy,A,macro-F1,1,1,tie,"Targets physical interaction state, a core affordance and manipulation signal.",The public sample is degenerate for this target because one class dominates.
C,Egocentric Vision & Interaction,object_relevance,Object Relevance Prediction,Relevant object set prediction,supervised,direct,C,micro-F1,0.180343820954,0.167927927928,minimal,Connects egocentric activity to manipulated objects and early object-centric state.,Object labels are language-derived and sparse in one episode.
A,Human Modeling & Motion Understanding,object_relevance,Object Relevance Prediction,Relevant object set prediction,supervised,proxy,C,micro-F1,0.180343820954,0.167927927928,minimal,Connects egocentric activity to manipulated objects and early object-centric state.,Object labels are language-derived and sparse in one episode.
D,Scene Reconstruction & World Modeling,object_relevance,Object Relevance Prediction,Relevant object set prediction,supervised,proxy,C,micro-F1,0.180343820954,0.167927927928,minimal,Connects egocentric activity to manipulated objects and early object-centric state.,Object labels are language-derived and sparse in one episode.
C,Egocentric Vision & Interaction,caption_grounding,Language Grounding,Caption-to-window grounding,retrieval,direct,C,MRR,0.0160234790503,0.0168412556713,neural_mlp,Grounds language annotation into egocentric sensor time and task state.,Bag-of-objects language features are too weak for rich grounding.
D,Scene Reconstruction & World Modeling,caption_grounding,Language Grounding,Caption-to-window grounding,retrieval,proxy,C,MRR,0.0160234790503,0.0168412556713,neural_mlp,Grounds language annotation into egocentric sensor time and task state.,Bag-of-objects language features are too weak for rich grounding.
