class_name,support,predicted,precision,recall,f1
Adjust canned food on shelf,2,0,0.0,0.0,0.0
Adjust item on shelf,2,1,0.0,0.0,0.0
Adjust lantern shape,2,0,0.0,0.0,0.0
Adjust lantern string,2,0,0.0,0.0,0.0
Adjust paper,2,0,0.0,0.0,0.0
Adjust pot position,2,0,0.0,0.0,0.0
Adjust puzzle piece,3,0,0.0,0.0,0.0
Align canned food on shelf,2,0,0.0,0.0,0.0
Align edges of paper lantern,2,0,0.0,0.0,0.0
Align paper lantern edges,2,0,0.0,0.0,0.0
Apply adhesive tape to lantern,2,0,0.0,0.0,0.0
Approach boxes,2,0,0.0,0.0,0.0
Approaching and pressing the door switch,2,0,0.0,0.0,0.0
Arrange buttons,2,0,0.0,0.0,0.0
Arrange buttons in a line,4,0,0.0,0.0,0.0
Arrange star beads,2,0,0.0,0.0,0.0
Arrange star beads for counting,2,0,0.0,0.0,0.0
Attempt to fit puzzle piece,3,0,0.0,0.0,0.0
Bend and manipulate plastic strip,4,0,0.0,0.0,0.0
Browse smartphone screen,3,0,0.0,0.0,0.0
Bundle display hooks,2,0,0.0,0.0,0.0
Closing the door,2,0,0.0,0.0,0.0
Counting and organizing beads,2,0,0.0,0.0,0.0
Counting star beads,2,0,0.0,0.0,0.0
Cut along the marked line,7,0,0.0,0.0,0.0
Cut cardboard,7,0,0.0,0.0,0.0
Cut cardboard piece,3,0,0.0,0.0,0.0
Entering the VR training room,3,0,0.0,0.0,0.0
Expand paper lantern,2,0,0.0,0.0,0.0
Extract wire hangers from box,2,0,0.0,0.0,0.0
Fold plastic strip,3,0,0.0,0.0,0.0
Gather star beads,2,0,0.0,0.0,0.0
Gesturing,2,0,0.0,0.0,0.0
Grasp cleaning bottle,2,363,0.005509641873278237,1.0,0.010958904109589041
Grasp lantern,1,0,0.0,0.0,0.0
Grasp lantern component,2,0,0.0,0.0,0.0
Grasping cleaning cloth,2,0,0.0,0.0,0.0
Greeting/acknowledging participants,3,0,0.0,0.0,0.0
Handle paper lantern component,2,0,0.0,0.0,0.0
Hold and bend plastic strip,3,0,0.0,0.0,0.0
Hold and manipulate paper strip,2,0,0.0,0.0,0.0
Hold beads,2,0,0.0,0.0,0.0
Hold canned food,1,0,0.0,0.0,0.0
Hold cardboard piece,3,0,0.0,0.0,0.0
Hold container lid,2,0,0.0,0.0,0.0
Hold earbud case,2,0,0.0,0.0,0.0
Hold paper lantern,2,0,0.0,0.0,0.0
Hold smartphone,3,0,0.0,0.0,0.0
Identify next cardboard piece,3,0,0.0,0.0,0.0
Inspect shelf condition,1,0,0.0,0.0,0.0
Interact with smartphone,4,0,0.0,0.0,0.0
Lift pot lid,1,0,0.0,0.0,0.0
Manipulate adhesive strip,5,0,0.0,0.0,0.0
Manipulate bead,2,0,0.0,0.0,0.0
Manipulate beads,2,0,0.0,0.0,0.0
Manipulate craft paper strips,4,0,0.0,0.0,0.0
Manipulate craft piece,2,0,0.0,0.0,0.0
Manipulate material,2,0,0.0,0.0,0.0
Manipulate paper edge,5,0,0.0,0.0,0.0
Manipulate paper strip,14,0,0.0,0.0,0.0
Manipulate plastic strip,3,0,0.0,0.0,0.0
Manipulate plastic strips,3,0,0.0,0.0,0.0
Manipulate puzzle piece,3,0,0.0,0.0,0.0
Manipulate puzzle pieces,3,0,0.0,0.0,0.0
Manipulate yellow strip,2,0,0.0,0.0,0.0
Manipulating paper strips,2,0,0.0,0.0,0.0
Marking cardboard piece,3,0,0.0,0.0,0.0
Move hand away,2,0,0.0,0.0,0.0
Move hand away from shelf,2,0,0.0,0.0,0.0
Move marker and adjust hand,3,0,0.0,0.0,0.0
Move phone,2,0,0.0,0.0,0.0
Move pot,1,0,0.0,0.0,0.0
Move smartphone,3,2,0.5,0.3333333333333333,0.4
Move through aisle,2,0,0.0,0.0,0.0
Move through the training room,3,0,0.0,0.0,0.0
Move towards kitchen area,1,0,0.0,0.0,0.0
Move towards the stove,1,0,0.0,0.0,0.0
Observe and pause,2,0,0.0,0.0,0.0
Observe colleague and workspace,2,0,0.0,0.0,0.0
Observe puzzle progress,3,0,0.0,0.0,0.0
Observe workspace,2,0,0.0,0.0,0.0
Open earbud case,2,0,0.0,0.0,0.0
Open folded paper lantern,2,0,0.0,0.0,0.0
Open paper lantern component,2,0,0.0,0.0,0.0
Open stove pot lid,1,0,0.0,0.0,0.0
Operate smartphone,4,0,0.0,0.0,0.0
Organize cardboard pieces,2,0,0.0,0.0,0.0
Pick up button,3,0,0.0,0.0,0.0
Pick up canned food,2,0,0.0,0.0,0.0
Pick up items from the shopping bag,2,0,0.0,0.0,0.0
Pick up new cardboard piece,2,0,0.0,0.0,0.0
Pick up packaged paper lantern component,1,0,0.0,0.0,0.0
Pick up pen,2,0,0.0,0.0,0.0
Pick up small piece of material,2,0,0.0,0.0,0.0
Pick up smartphone,2,0,0.0,0.0,0.0
Pick up star bead,2,0,0.0,0.0,0.0
Pick up utility knife,6,0,0.0,0.0,0.0
Picking up bottle,1,0,0.0,0.0,0.0
Picking up crafting material,2,0,0.0,0.0,0.0
Place and count bead,2,0,0.0,0.0,0.0
Place another canned food on shelf,2,0,0.0,0.0,0.0
Place button,3,0,0.0,0.0,0.0
Place can on shelf,2,0,0.0,0.0,0.0
Place cloth on floor,1,0,0.0,0.0,0.0
Place hand on table,3,2,0.0,0.0,0.0
Place item on shelf,2,0,0.0,0.0,0.0
Place items on the shelf,2,0,0.0,0.0,0.0
Place lid back,1,0,0.0,0.0,0.0
Place material,2,0,0.0,0.0,0.0
Place phone down,2,0,0.0,0.0,0.0
Place piece into puzzle,1,0,0.0,0.0,0.0
Place puzzle piece,3,0,0.0,0.0,0.0
Place smartphone down,3,0,0.0,0.0,0.0
Place towel,1,0,0.0,0.0,0.0
Placing paper strip,4,2,0.0,0.0,0.0
Put down smartphone,3,2,0.0,0.0,0.0
Reach for another item,1,0,0.0,0.0,0.0
Reach for cleaning supplies,1,0,0.0,0.0,0.0
Reach for next canned food,1,0,0.0,0.0,0.0
Reach for next item,1,0,0.0,0.0,0.0
Reach for puzzle piece,2,0,0.0,0.0,0.0
Reach for wire hangers,1,0,0.0,0.0,0.0
Reach into box,1,0,0.0,0.0,0.0
Release cardboard piece and gesture,2,0,0.0,0.0,0.0
Release hook,1,0,0.0,0.0,0.0
Release lantern,1,0,0.0,0.0,0.0
Release paper strip,4,0,0.0,0.0,0.0
Release puzzle piece,2,0,0.0,0.0,0.0
Release scissors,3,0,0.0,0.0,0.0
Release smartphone,3,0,0.0,0.0,0.0
Remove cleaning bottle,1,0,0.0,0.0,0.0
Remove paper lantern part from packaging,1,0,0.0,0.0,0.0
Remove plastic packaging,1,0,0.0,0.0,0.0
Reposition hand,3,0,0.0,0.0,0.0
Resume observation,2,0,0.0,0.0,0.0
Retrieve canned food from box,1,0,0.0,0.0,0.0
Retrieve next canned food item,1,0,0.0,0.0,0.0
Retrieving more beads,2,0,0.0,0.0,0.0
Rinse cloth in sink,1,0,0.0,0.0,0.0
Scroll smartphone screen,3,0,0.0,0.0,0.0
Search for puzzle piece,2,0,0.0,0.0,0.0
Secure paper edges with adhesive,4,0,0.0,0.0,0.0
Securing paper structure,4,0,0.0,0.0,0.0
Sort and adjust button line,3,0,0.0,0.0,0.0
Sort and arrange buttons,3,0,0.0,0.0,0.0
Sort and count beads,2,0,0.0,0.0,0.0
Sort and place buttons,3,0,0.0,0.0,0.0
Sort button,3,0,0.0,0.0,0.0
Sort craft items,1,0,0.0,0.0,0.0
Sort puzzle pieces,2,0,0.0,0.0,0.0
Sort small craft pieces,3,1,0.0,0.0,0.0
Sort star-shaped beads,1,0,0.0,0.0,0.0
Start cutting,2,0,0.0,0.0,0.0
