class_name,support,predicted,precision,recall,f1
Adjust canned food on shelf :: canned food | cardboard box | store shelf,2,0,0.0,0.0,0.0
Adjust item on shelf :: shelf | stationery package,2,0,0.0,0.0,0.0
Adjust lantern shape :: red pleated paper lantern,2,0,0.0,0.0,0.0
Adjust lantern string :: red paper lantern | string,2,0,0.0,0.0,0.0
Adjust paper :: cardboard square | paper | pen | star beads,2,0,0.0,0.0,0.0
Adjust pot position :: pot,2,0,0.0,0.0,0.0
Adjust puzzle piece :: jigsaw puzzle | puzzle box | puzzle pieces,3,0,0.0,0.0,0.0
Align canned food on shelf :: canned food | cardboard box | retail shelf,2,0,0.0,0.0,0.0
Align edges of paper lantern :: hands | red paper lantern,2,0,0.0,0.0,0.0
Align paper lantern edges :: hands | red paper lantern,2,0,0.0,0.0,0.0
Apply adhesive tape to lantern :: adhesive tape | red paper lantern,2,0,0.0,0.0,0.0
Approach boxes :: cardboard boxes | colleague | shelving unit,2,0,0.0,0.0,0.0
Approaching and pressing the door switch :: glass door | switch | wall,4,0,0.0,0.0,0.0
Approaching the table :: beads | chairs | table,2,0,0.0,0.0,0.0
Arrange buttons :: red buttons | smartphone | table,4,0,0.0,0.0,0.0
Arrange buttons in a line :: buttons | phone | table,4,0,0.0,0.0,0.0
Arrange star beads :: paper | pen | power bank | smartphone | star beads,2,0,0.0,0.0,0.0
Arrange star beads for counting :: paper | pen | star beads,2,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle board | puzzle piece,1,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle piece,2,0,0.0,0.0,0.0
Bend and manipulate plastic strip :: plastic strip | stationary box | table | water bottle,4,0,0.0,0.0,0.0
Browse smartphone screen :: paper strips | smartphone | star ornaments,3,0,0.0,0.0,0.0
Bundle display hooks :: container | display hooks,2,0,0.0,0.0,0.0
Closing the door :: door | dustpan,2,0,0.0,0.0,0.0
Counting and organizing beads :: cardboard squares | paper | pen | star-shaped beads,2,0,0.0,0.0,0.0
Counting star beads :: paper | pen | star beads,2,0,0.0,0.0,0.0
Cut along the marked line :: cardboard | hand | utility knife,7,0,0.0,0.0,0.0
Cut cardboard :: cardboard | desk | pen | ruler | utility knife,7,0,0.0,0.0,0.0
Cut cardboard piece :: cardboard strip | scissors,3,0,0.0,0.0,0.0
Entering the VR training room :: doorway | person | table,3,0,0.0,0.0,0.0
Expand paper lantern :: adhesive tape roll | cardboard box | red paper lantern,2,0,0.0,0.0,0.0
Extract wire hangers from box :: cardboard box | wire hangers,2,0,0.0,0.0,0.0
Fold paper lantern :: red paper honeycomb lantern,2,0,0.0,0.0,0.0
Fold plastic strip :: container with tools | purple plastic strip | water bottle | white table,3,0,0.0,0.0,0.0
Gather star beads :: cardboard squares | mobile phone | paper | pen | power bank | star beads,2,0,0.0,0.0,0.0
Gesturing :: cardboard pieces | marker | pencil case | ruler | scissors,2,0,0.0,0.0,0.0
Grasp cleaning bottle :: bowls | chopping board | cleaning fluid bottle,2,0,0.0,0.0,0.0
Grasp lantern :: red paper honeycomb lantern,2,0,0.0,0.0,0.0
Grasp lantern component :: cardboard box | paper lantern | tape,2,0,0.0,0.0,0.0
Grasping cleaning cloth :: cleaning cloth | countertop,2,0,0.0,0.0,0.0
Greeting/acknowledging participants :: person | table | vr headset,3,0,0.0,0.0,0.0
Handle paper lantern component :: cardboard box | paper lantern component | plastic bag | red paper lantern,2,0,0.0,0.0,0.0
Hold and bend plastic strip :: bottle | purple plastic strip | stationery box,3,0,0.0,0.0,0.0
Hold and manipulate paper strip :: beads | mobile phone | power bank | yellow paper strip,2,0,0.0,0.0,0.0
Hold beads :: paper | pen | power bank | smartphone | star-shaped beads,2,0,0.0,0.0,0.0
Hold canned food :: box of cans | can of soup | shelf,2,0,0.0,0.0,0.0
Hold cardboard piece :: cardboard pieces | marker | pencil case | ruler | scissors,3,0,0.0,0.0,0.0
Hold container lid :: dustpan | red plastic container lid,2,0,0.0,0.0,0.0
Hold paper lantern :: red paper lantern | sofa,2,0,0.0,0.0,0.0
Hold smartphone :: kettle | kitchen counter | sink | smartphone,1,0,0.0,0.0,0.0
Hold smartphone :: quilling paper strips | small blue beads | smartphone,3,0,0.0,0.0,0.0
Identify next cardboard piece :: cardboard pieces | marker,3,0,0.0,0.0,0.0
Inspect shelf condition :: colleague | shelf,2,0,0.0,0.0,0.0
Interact with smartphone :: beads | smartphone | yellow paper strip,2,0,0.0,0.0,0.0
Interact with smartphone :: cans | shelf | smartphone,2,0,0.0,0.0,0.0
Lift pot lid :: pot | pot lid,1,0,0.0,0.0,0.0
