class_name,support,predicted,precision,recall,f1
Adjust lantern string and handle components,28,23,0.0,0.0,0.0
Adjusting and securing paper structure,36,22,0.0,0.0,0.0
Adjusting cookware,23,49,0.40816326530612246,0.8695652173913043,0.5555555555555556
Adjusting paper edge and placing strip,43,16,0.0,0.0,0.0
Adjusting stock and finishing placement,17,7,0.0,0.0,0.0
Align paper lantern edges,29,0,0.0,0.0,0.0
Aligning canned goods on the shelf,9,0,0.0,0.0,0.0
Approach inventory boxes,34,0,0.0,0.0,0.0
Approaching the stove,9,0,0.0,0.0,0.0
Arrange buttons,33,0,0.0,0.0,0.0
Arrange buttons in a line,29,81,0.12345679012345678,0.3448275862068966,0.18181818181818182
Assembling material pieces,32,1,0.0,0.0,0.0
Attempt to fit and place puzzle piece,5,0,0.0,0.0,0.0
Bending plastic strip,16,10,0.1,0.0625,0.07692307692307693
Browsing smartphone,32,1,0.0,0.0,0.0
Bundle display hooks,22,0,0.0,0.0,0.0
Checking cooking pot,20,0,0.0,0.0,0.0
Checking smartphone,24,0,0.0,0.0,0.0
Cleaning cloth maintenance,25,3,0.3333333333333333,0.04,0.07142857142857142
Cleaning kitchen surfaces,28,1,0.0,0.0,0.0
Cooking at the stove,32,1,0.0,0.0,0.0
Count beads and retrieve more,28,0,0.0,0.0,0.0
Cut along the marked line,51,0,0.0,0.0,0.0
Cut cardboard,172,1,1.0,0.005813953488372093,0.011560693641618497
Cutting cardboard pieces,49,0,0.0,0.0,0.0
Document bead counts,22,3,0.0,0.0,0.0
Entering the training area,35,5,0.0,0.0,0.0
Expand and adjust lantern shape,24,0,0.0,0.0,0.0
Expand paper lantern,22,0,0.0,0.0,0.0
Extract wire hangers from inventory,43,0,0.0,0.0,0.0
Final alignment of lantern edges,6,1,0.0,0.0,0.0
Finalizing shelf organization,27,0,0.0,0.0,0.0
Finish cutting along the marked line and reposition,7,0,0.0,0.0,0.0
Fold and grasp lantern,24,0,0.0,0.0,0.0
Folding plastic strip,57,0,0.0,0.0,0.0
Grasp lantern component,15,0,0.0,0.0,0.0
Greeting participants,49,0,0.0,0.0,0.0
Handle paper lantern component,19,0,0.0,0.0,0.0
Handling container lid,25,0,0.0,0.0,0.0
Handling earbud case,24,0,0.0,0.0,0.0
Handling plastic strip,28,0,0.0,0.0,0.0
Holding smartphone,28,0,0.0,0.0,0.0
Initiating assembly,34,0,0.0,0.0,0.0
Inspect shelf condition,27,0,0.0,0.0,0.0
Inspect shelf condition and observe surroundings,3,0,0.0,0.0,0.0
Install display hooks,18,0,0.0,0.0,0.0
Labeling cardboard pieces,196,0,0.0,0.0,0.0
Manipulate adhesive strip,44,0,0.0,0.0,0.0
Manipulate and release paper strips,34,0,0.0,0.0,0.0
Manipulate craft pieces,38,0,0.0,0.0,0.0
Manipulate paper decoration,41,0,0.0,0.0,0.0
Manipulate paper edge,35,0,0.0,0.0,0.0
Manipulate paper strip,44,0,0.0,0.0,0.0
Manipulate paper strips,86,0,0.0,0.0,0.0
Manipulate puzzle piece,38,0,0.0,0.0,0.0
Manipulate puzzle pieces,35,0,0.0,0.0,0.0
Manipulating beads,45,0,0.0,0.0,0.0
Manipulating plastic strip,37,0,0.0,0.0,0.0
Manipulating yellow strips,31,0,0.0,0.0,0.0
Move to stocking area,10,0,0.0,0.0,0.0
Moving around the kitchen,22,0,0.0,0.0,0.0
Moving through the room,20,0,0.0,0.0,0.0
Observe puzzle progress,32,0,0.0,0.0,0.0
Observing and pausing,17,0,0.0,0.0,0.0
Open paper lantern,13,0,0.0,0.0,0.0
Operate and release smartphone,7,0,0.0,0.0,0.0
Organize and count beads,56,0,0.0,0.0,0.0
Organizing cardboard pieces,15,2,0.0,0.0,0.0
Paper quilling craft,32,0,0.0,0.0,0.0
Pick up and place buttons,40,0,0.0,0.0,0.0
Pick up and place puzzle piece,31,0,0.0,0.0,0.0
"Pick, place, and count beads",33,0,0.0,0.0,0.0
Picking up and placing canned goods,17,0,0.0,0.0,0.0
Place and adjust items on shelf,42,0,0.0,0.0,0.0
Place and retrieve items for stocking,27,0,0.0,0.0,0.0
Place items on shelf,6,0,0.0,0.0,0.0
Place puzzle piece,16,0,0.0,0.0,0.0
Placing and retrieving canned goods,19,0,0.0,0.0,0.0
Placing canned goods on the shelf,63,0,0.0,0.0,0.0
Prepare to cut cardboard,49,0,0.0,0.0,0.0
Preparing craft area,24,0,0.0,0.0,0.0
Preparing materials,31,0,0.0,0.0,0.0
Preparing plastic strip for folding,9,0,0.0,0.0,0.0
"Reach for, pick up, and attempt to fit puzzle piece",53,0,0.0,0.0,0.0
Reaching into the box for more stock,33,0,0.0,0.0,0.0
Release and adjust puzzle piece,15,0,0.0,0.0,0.0
Release scissors and operate smartphone,44,0,0.0,0.0,0.0
Remove packaging and prepare component,32,0,0.0,0.0,0.0
Retrieving and placing canned goods,7,0,0.0,0.0,0.0
Retrieving cleaning supplies,32,69,0.13043478260869565,0.28125,0.17821782178217818
Scrolling and placing smartphone down,21,0,0.0,0.0,0.0
Scrolling and setting down smartphone,24,0,0.0,0.0,0.0
Scrolling smartphone screen,31,0,0.0,0.0,0.0
Search for and pick up puzzle piece,26,0,0.0,0.0,0.0
Secure lantern with adhesive,33,0,0.0,0.0,0.0
Secure paper edges with adhesive,39,0,0.0,0.0,0.0
Setting up smartphone,3,0,0.0,0.0,0.0
Sort and adjust button line,29,0,0.0,0.0,0.0
Sort and arrange buttons,32,0,0.0,0.0,0.0
Sort and group beads,22,0,0.0,0.0,0.0
Sort and place buttons,31,0,0.0,0.0,0.0
Sort and record bead counts,49,0,0.0,0.0,0.0
Sort beads and record count,75,0,0.0,0.0,0.0
Sort buttons,36,0,0.0,0.0,0.0
Sort buttons by color,25,0,0.0,0.0,0.0
Sort craft materials into piles,36,0,0.0,0.0,0.0
Sort puzzle pieces,34,0,0.0,0.0,0.0
Sort small craft pieces,39,0,0.0,0.0,0.0
Stocking multiple cans on the shelf,35,0,0.0,0.0,0.0
Tidying workspace,20,0,0.0,0.0,0.0
Transitioning to smartphone usage,59,0,0.0,0.0,0.0
Unfold paper lantern,16,0,0.0,0.0,0.0
Unpack additional lantern component,16,0,0.0,0.0,0.0
Unpack and place items on shelf,29,0,0.0,0.0,0.0
Use smartphone,30,0,0.0,0.0,0.0
Using a smartphone,28,0,0.0,0.0,0.0
Using phone,31,0,0.0,0.0,0.0
Using phone and resuming work,14,0,0.0,0.0,0.0
Using smartphone,26,0,0.0,0.0,0.0
Walk to shelf location,18,0,0.0,0.0,0.0
Walking to the crafting area,17,0,0.0,0.0,0.0
Wiping counter,16,15,0.06666666666666667,0.0625,0.06451612903225808
Working with paper strips,76,0,0.0,0.0,0.0
Working with paper strips and using phone,3,0,0.0,0.0,0.0
unknown,18,1,0.0,0.0,0.0
Approaching workstation,0,134,0.0,0.0,0.0
Walking through the room,0,23,0.0,0.0,0.0
Walking through workspace,0,8,0.0,0.0,0.0
Leaving the room and retrieving object,0,23,0.0,0.0,0.0
Retrieving materials,0,15,0.0,0.0,0.0
Interacting with coworker,0,10,0.0,0.0,0.0
Walking through office,0,9,0.0,0.0,0.0
Cutting cardboard and placing down scissors,0,59,0.0,0.0,0.0
Folding and sorting paper stars while handling a water bottle,0,88,0.0,0.0,0.0
Cutting cardboard strips with scissors,0,52,0.0,0.0,0.0
Holding and creasing purple paper,0,77,0.0,0.0,0.0
Folding purple ribbon,0,1,0.0,0.0,0.0
Folding purple paper strip,0,22,0.0,0.0,0.0
Manipulating and releasing paper strips,0,504,0.0,0.0,0.0
Manipulating and placing strip components,0,21,0.0,0.0,0.0
Manipulating paper strips,0,16,0.0,0.0,0.0
Retrieving and shelving container,0,26,0.0,0.0,0.0
Stocking canned goods onto the shelf,0,8,0.0,0.0,0.0
Approaching restocking supplies,0,18,0.0,0.0,0.0
Repositioning stool for the next section,0,1,0.0,0.0,0.0
Adjusting cardboard divider,0,34,0.0,0.0,0.0
Reaching for and picking up stars,0,2,0.0,0.0,0.0
Clean shelf surface,0,4,0.0,0.0,0.0
Clean and inspect shelf,0,3,0.0,0.0,0.0
Wiping shelves and cleaning product items,0,13,0.0,0.0,0.0
Adjusting items on shelf,0,114,0.0,0.0,0.0
Adjusting cardboard layout,0,28,0.0,0.0,0.0
Adjusting canned goods on the shelf,0,64,0.0,0.0,0.0
Sweeping floor debris,0,26,0.0,0.0,0.0
Adjusting items on the shelf,0,9,0.0,0.0,0.0
Finalizing item placement into shopping bag,0,8,0.0,0.0,0.0
Organizing container contents,0,11,0.0,0.0,0.0
Cutting and placing cardboard,0,2,0.0,0.0,0.0
Positioning shelf dividers,0,1,0.0,0.0,0.0
Retrieving items from boxes,0,3,0.0,0.0,0.0
Holding and bagging a smartphone box,0,19,0.0,0.0,0.0
Organizing products into box,0,8,0.0,0.0,0.0
Stocking products from bin onto shelf,0,4,0.0,0.0,0.0
Organizing products on shelf,0,2,0.0,0.0,0.0
Placing items on shelf and moving box,0,2,0.0,0.0,0.0
Wiping and cleaning retail items,0,2,0.0,0.0,0.0
Placing canned goods onto the shelf,0,143,0.0,0.0,0.0
Placing and adjusting items on the shelf,0,2,0.0,0.0,0.0
Wiping product jars and shelf stocking,0,6,0.0,0.0,0.0
Placing canned goods onto the shelf and retrieving container,0,6,0.0,0.0,0.0
Organizing cans into a storage box,0,5,0.0,0.0,0.0
Inspecting and placing cans on shelf,0,12,0.0,0.0,0.0
Organizing shelf products,0,1,0.0,0.0,0.0
Placing and arranging cans on the shelf,0,3,0.0,0.0,0.0
Organizing shelf workspace,0,1,0.0,0.0,0.0
Retrieving and carrying containers,0,1,0.0,0.0,0.0
Inspecting and stocking shelf items,0,1,0.0,0.0,0.0
Inspecting and packing supplement bottle,0,8,0.0,0.0,0.0
Inspecting and bagging a smartphone box,0,2,0.0,0.0,0.0
Adjust position and check phone,0,12,0.0,0.0,0.0
Adjust phone and reach for beads,0,127,0.0,0.0,0.0
Using smartphone as a guide on cardboard,0,12,0.0,0.0,0.0
Interacting with phone,0,31,0.0,0.0,0.0
Placing items on shelf and retrieving new items,0,1,0.0,0.0,0.0
Browsing and selecting canned goods,0,5,0.0,0.0,0.0
Assembling cardboard boxes,0,78,0.0,0.0,0.0
Assembling cardboard base,0,50,0.0,0.0,0.0
Arranging star-shaped beads,0,67,0.0,0.0,0.0
Adjusting and placing down paper pieces,0,58,0.0,0.0,0.0
Manipulating and placing paper shapes,0,59,0.0,0.0,0.0
Adjust and cut fabric,0,16,0.0,0.0,0.0
Clear workspace and pick up phone,0,10,0.0,0.0,0.0
Manipulating paper stars,0,47,0.0,0.0,0.0
Assembling small decorative components,0,19,0.0,0.0,0.0
Folding cardboard and checking phone,0,84,0.0,0.0,0.0
Manipulating paper star,0,19,0.0,0.0,0.0
Check instructions on phone,0,16,0.0,0.0,0.0
Wiping the plastic jar,0,17,0.0,0.0,0.0
Assembling the foam base loop,0,24,0.0,0.0,0.0
Walking to and approaching workspace,0,1,0.0,0.0,0.0
Washing hands,0,23,0.0,0.0,0.0
Aligning cardboard strip,0,4,0.0,0.0,0.0
Cutting cardboard into strips,0,68,0.0,0.0,0.0
Adjusting and folding cardboard,0,43,0.0,0.0,0.0
Completing list and moving away from desk,0,3,0.0,0.0,0.0
Labeling and organizing cardboard squares,0,12,0.0,0.0,0.0
Adjust and align Mahjong tiles,0,3,0.0,0.0,0.0
Sorting and counting beads,0,276,0.0,0.0,0.0
Folding cardboard and preparing marker,0,2,0.0,0.0,0.0
Labeling and placing cardboard squares,0,30,0.0,0.0,0.0
Cutting cardboard and placing knife down,0,20,0.0,0.0,0.0
Cutting cardboard,0,10,0.0,0.0,0.0
Cutting cardboard into triangles,0,10,0.0,0.0,0.0
Cutting and preparing cardboard pieces,0,137,0.0,0.0,0.0
Adjusting puzzle piece,0,3,0.0,0.0,0.0
Cleaning workspace,0,17,0.0,0.0,0.0
Cut and reposition utility knife,0,1,0.0,0.0,0.0
Organizing buttons into patterns,0,15,0.0,0.0,0.0
Arrange orange buttons,0,3,0.0,0.0,0.0
Organizing paper pieces into piles,0,78,0.0,0.0,0.0
Organizing stars into a row,0,1,0.0,0.0,0.0
Arranging orange buttons,0,5,0.0,0.0,0.0
Sorting buttons by color,0,1,0.0,0.0,0.0
Arranging buttons on the table,0,7,0.0,0.0,0.0
Arranging cardboard squares,0,5,0.0,0.0,0.0
Arrange tiles into row,0,5,0.0,0.0,0.0
Arrange star-shaped beads,0,1,0.0,0.0,0.0
Fine-tuning bead placement,0,1,0.0,0.0,0.0
Sorting beads by color,0,1,0.0,0.0,0.0
Sorting origami stars by color,0,1,0.0,0.0,0.0
Typing on smartphone,0,24,0.0,0.0,0.0
Typing message on smartphone,0,2,0.0,0.0,0.0
Typing on smartphone while working with paper,0,2,0.0,0.0,0.0
Finalizing spice jar selection,0,5,0.0,0.0,0.0
Using phone and drinking water,0,1,0.0,0.0,0.0
"Cleaning, bagging, and selecting another item",0,1,0.0,0.0,0.0
"Cleaning, inspecting, and bagging an electronic item",0,1,0.0,0.0,0.0
Collecting oil and supplement bottles,0,1,0.0,0.0,0.0
Moving the vacuum cleaner,0,1,0.0,0.0,0.0
Adjusting container positions,0,8,0.0,0.0,0.0
Marking cardboard with pen,0,139,0.0,0.0,0.0
Cutting cardboard strips,0,2,0.0,0.0,0.0
Cutting and organizing cardboard pieces,0,5,0.0,0.0,0.0
Cutting and gathering cardboard,0,1,0.0,0.0,0.0
Marking cardboard squares,0,3,0.0,0.0,0.0
Adjusting ruler position,0,2,0.0,0.0,0.0
