class_name,support,predicted,precision,recall,f1
Adjust canned food on shelf :: canned food | cardboard box | store shelf,2,0,0.0,0.0,0.0
Adjust item on shelf :: shelf | stationery package,4,1,0.0,0.0,0.0
Adjust lantern shape :: red pleated paper lantern,2,0,0.0,0.0,0.0
Adjust paper :: cardboard square | paper | pen | star beads,3,0,0.0,0.0,0.0
Adjust pot position :: pot,3,0,0.0,0.0,0.0
Adjust puzzle piece :: jigsaw puzzle | puzzle box | puzzle pieces,3,0,0.0,0.0,0.0
Align edges of paper lantern :: hands | red paper lantern,2,0,0.0,0.0,0.0
Align paper lantern edges :: hands | red paper lantern,2,0,0.0,0.0,0.0
Apply adhesive tape to lantern :: adhesive tape | red paper lantern,3,0,0.0,0.0,0.0
Approach boxes :: cardboard boxes | colleague | shelving unit,3,0,0.0,0.0,0.0
Approaching and pressing the door switch :: glass door | switch | wall,6,0,0.0,0.0,0.0
Approaching the table :: beads | chairs | table,2,0,0.0,0.0,0.0
Arrange buttons :: red buttons | smartphone | table,2,0,0.0,0.0,0.0
Arrange buttons in a line :: buttons | phone | table,7,0,0.0,0.0,0.0
Arrange star beads for counting :: paper | pen | star beads,4,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle board | puzzle piece,3,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle piece,2,0,0.0,0.0,0.0
Bend and manipulate plastic strip :: plastic strip | stationary box | table | water bottle,1,0,0.0,0.0,0.0
Browse smartphone screen :: paper strips | smartphone | star ornaments,3,0,0.0,0.0,0.0
Closing the door :: door | dustpan,2,0,0.0,0.0,0.0
Counting and organizing beads :: cardboard squares | paper | pen | star-shaped beads,2,0,0.0,0.0,0.0
Counting star beads :: paper | pen | star beads,2,0,0.0,0.0,0.0
Cut along the marked line :: cardboard | hand | utility knife,7,0,0.0,0.0,0.0
Cut cardboard piece :: cardboard strip | scissors,3,0,0.0,0.0,0.0
Entering the VR training room :: doorway | person | table,3,0,0.0,0.0,0.0
Expand paper lantern :: adhesive tape roll | cardboard box | red paper lantern,3,0,0.0,0.0,0.0
Extract wire hangers from box :: cardboard box | wire hangers,1,0,0.0,0.0,0.0
Fold paper lantern :: red paper honeycomb lantern,2,0,0.0,0.0,0.0
Gesturing :: cardboard pieces | marker | pencil case | ruler | scissors,2,0,0.0,0.0,0.0
Grasp cleaning bottle :: bowls | chopping board | cleaning fluid bottle,1,0,0.0,0.0,0.0
Grasp lantern :: red paper honeycomb lantern,1,0,0.0,0.0,0.0
Grasping cleaning cloth :: cleaning cloth | countertop,4,361,0.0110803324099723,1.0,0.021917808219178086
Greeting/acknowledging participants :: person | table | vr headset,2,0,0.0,0.0,0.0
Handle paper lantern component :: cardboard box | paper lantern component | plastic bag | red paper lantern,1,0,0.0,0.0,0.0
Hold and bend plastic strip :: bottle | purple plastic strip | stationery box,2,0,0.0,0.0,0.0
Hold and manipulate paper strip :: beads | mobile phone | power bank | yellow paper strip,3,0,0.0,0.0,0.0
Hold and manipulate paper strip :: beads | paper strip | power bank | smartphone,1,0,0.0,0.0,0.0
Hold beads :: paper | pen | power bank | smartphone | star-shaped beads,2,0,0.0,0.0,0.0
Hold container lid :: dustpan | red plastic container lid,1,0,0.0,0.0,0.0
Hold earbud case :: box of products | earbud case | shelf,1,0,0.0,0.0,0.0
Hold smartphone :: quilling paper strips | small blue beads | smartphone,1,0,0.0,0.0,0.0
Identify next cardboard piece :: cardboard pieces | marker,3,0,0.0,0.0,0.0
Inspect shelf condition :: colleague | shelf,1,0,0.0,0.0,0.0
Interact with smartphone :: beads | smartphone | yellow paper strip,2,0,0.0,0.0,0.0
Interact with smartphone :: cans | cereal box | shelf | smartphone,1,0,0.0,0.0,0.0
Interact with smartphone :: cans | shelf | smartphone,4,0,0.0,0.0,0.0
Lift pot lid :: pot | pot lid,1,0,0.0,0.0,0.0
Manipulate adhesive strip :: adhesive strip | paper sheets | puzzle box | smartphone | water bottle,5,0,0.0,0.0,0.0
Manipulate bead :: bead piles | container | paper strips | yellow bead,2,0,0.0,0.0,0.0
Manipulate bead :: bead | bead piles | pen holder | table,1,0,0.0,0.0,0.0
Manipulate bead :: bead | bead piles | table,1,0,0.0,0.0,0.0
Manipulate beads :: blue beads | power bank | smartphone | yellow beads,2,0,0.0,0.0,0.0
Manipulate craft paper strips :: paper strips | scissors | smartphone,8,0,0.0,0.0,0.0
Manipulate craft piece :: craft pieces | scissors | smartphone,2,0,0.0,0.0,0.0
Manipulate material :: blue crafting material | hand,2,0,0.0,0.0,0.0
