class_name,support,predicted,precision,recall,f1
Adjust canned food on shelf,9,71,0.11267605633802817,0.8888888888888888,0.2
Adjust item on shelf,26,1,0.0,0.0,0.0
Adjust lantern shape,3,46,0.021739130434782608,0.3333333333333333,0.04081632653061224
Adjust lantern string,3,25,0.04,0.3333333333333333,0.07142857142857142
Adjust paper,9,9,0.0,0.0,0.0
Adjust pot position,6,1,0.0,0.0,0.0
Adjust puzzle piece,11,29,0.034482758620689655,0.09090909090909091,0.05
Align canned food on shelf,9,0,0.0,0.0,0.0
Align edges of paper lantern,6,1,0.0,0.0,0.0
Align paper lantern edges,29,1,1.0,0.034482758620689655,0.06666666666666667
Apply adhesive tape to lantern,14,0,0.0,0.0,0.0
Approach boxes,12,0,0.0,0.0,0.0
Approaching and pressing the door switch,22,0,0.0,0.0,0.0
Approaching the table,9,16,0.0,0.0,0.0
Arrange buttons,33,0,0.0,0.0,0.0
Arrange buttons in a line,29,0,0.0,0.0,0.0
Arrange star beads,15,0,0.0,0.0,0.0
Arrange star beads for counting,16,0,0.0,0.0,0.0
Attempt to fit puzzle piece,31,0,0.0,0.0,0.0
Bend and manipulate plastic strip,37,0,0.0,0.0,0.0
Browse smartphone screen,33,17,0.058823529411764705,0.030303030303030304,0.04
Bundle display hooks,22,0,0.0,0.0,0.0
Closing the door,8,0,0.0,0.0,0.0
Counting and organizing beads,19,3,0.0,0.0,0.0
Counting star beads,23,2,0.0,0.0,0.0
Cut along the marked line,51,0,0.0,0.0,0.0
Cut cardboard,174,3,0.3333333333333333,0.005747126436781609,0.011299435028248588
Cut cardboard piece,40,6,0.3333333333333333,0.05,0.08695652173913045
Entering the VR training room,16,0,0.0,0.0,0.0
Expand paper lantern,22,12,0.0,0.0,0.0
Extract wire hangers from box,30,0,0.0,0.0,0.0
Fold paper lantern,9,1,0.0,0.0,0.0
Fold plastic strip,57,0,0.0,0.0,0.0
Gather star beads,13,0,0.0,0.0,0.0
Gesturing,2,0,0.0,0.0,0.0
Grasp cleaning bottle,3,0,0.0,0.0,0.0
Grasp lantern,15,0,0.0,0.0,0.0
Grasp lantern component,15,0,0.0,0.0,0.0
Grasping cleaning cloth,7,0,0.0,0.0,0.0
Greeting/acknowledging participants,33,0,0.0,0.0,0.0
Handle paper lantern component,19,5,0.0,0.0,0.0
Hold and bend plastic strip,16,0,0.0,0.0,0.0
Hold and manipulate paper strip,31,0,0.0,0.0,0.0
Hold beads,19,0,0.0,0.0,0.0
Hold canned food,24,0,0.0,0.0,0.0
Hold cardboard piece,7,0,0.0,0.0,0.0
Hold container lid,25,0,0.0,0.0,0.0
Hold earbud case,21,0,0.0,0.0,0.0
Hold paper lantern,19,0,0.0,0.0,0.0
Hold smartphone,42,0,0.0,0.0,0.0
Identify next cardboard piece,21,0,0.0,0.0,0.0
Inspect shelf condition,27,0,0.0,0.0,0.0
Interact with smartphone,21,2,0.0,0.0,0.0
Lift pot lid,9,1,0.0,0.0,0.0
Manipulate adhesive strip,44,0,0.0,0.0,0.0
Manipulate bead,23,0,0.0,0.0,0.0
Manipulate beads,22,1,0.0,0.0,0.0
Manipulate craft paper strips,33,0,0.0,0.0,0.0
Manipulate craft piece,38,0,0.0,0.0,0.0
Manipulate material,16,0,0.0,0.0,0.0
Manipulate paper decoration,41,2,0.0,0.0,0.0
Manipulate paper edge,35,0,0.0,0.0,0.0
Manipulate paper strip,152,88,0.045454545454545456,0.02631578947368421,0.03333333333333333
Manipulate plastic strip,37,0,0.0,0.0,0.0
Manipulate plastic strips,34,0,0.0,0.0,0.0
Manipulate puzzle piece,38,0,0.0,0.0,0.0
Manipulate puzzle pieces,35,0,0.0,0.0,0.0
Manipulate yellow strip,31,0,0.0,0.0,0.0
Manipulating paper strips,22,0,0.0,0.0,0.0
Mark cardboard piece,85,0,0.0,0.0,0.0
Marking cardboard piece,30,1,0.0,0.0,0.0
Move dustpan to side,3,2,0.0,0.0,0.0
Move hand away,5,0,0.0,0.0,0.0
Move hand away from shelf,8,0,0.0,0.0,0.0
Move marker and adjust hand,8,0,0.0,0.0,0.0
Move phone,24,0,0.0,0.0,0.0
Move pot,7,0,0.0,0.0,0.0
Move smartphone,28,7,0.0,0.0,0.0
Move through aisle,10,0,0.0,0.0,0.0
Move through the training room,20,0,0.0,0.0,0.0
Move to shelf,3,0,0.0,0.0,0.0
Move towards kitchen area,15,0,0.0,0.0,0.0
Move towards the stove,9,1,0.0,0.0,0.0
Observe and pause,11,0,0.0,0.0,0.0
Observe and walk through store,15,0,0.0,0.0,0.0
Observe colleague and workspace,3,0,0.0,0.0,0.0
Observe puzzle progress,32,10,0.0,0.0,0.0
Observe workspace,13,38,0.0,0.0,0.0
Open earbud case,3,9,0.0,0.0,0.0
Open folded paper lantern,21,4,0.0,0.0,0.0
Open paper lantern,29,4,0.0,0.0,0.0
Open paper lantern component,24,5,0.0,0.0,0.0
Open stove pot lid,20,0,0.0,0.0,0.0
Operate smartphone,40,0,0.0,0.0,0.0
Organize cardboard pieces,15,1,0.0,0.0,0.0
Pick up button,9,0,0.0,0.0,0.0
Pick up can,3,0,0.0,0.0,0.0
Pick up canned food,13,0,0.0,0.0,0.0
Pick up dustpan,17,0,0.0,0.0,0.0
Pick up items from the shopping bag,23,0,0.0,0.0,0.0
Pick up new cardboard piece,24,0,0.0,0.0,0.0
Pick up packaged paper lantern component,12,7,0.0,0.0,0.0
Pick up pen,8,0,0.0,0.0,0.0
Pick up puzzle piece,18,0,0.0,0.0,0.0
Pick up small piece of material,3,0,0.0,0.0,0.0
Pick up smartphone,6,0,0.0,0.0,0.0
Pick up star bead,6,0,0.0,0.0,0.0
Pick up utility knife,18,0,0.0,0.0,0.0
Picking up bottle,11,0,0.0,0.0,0.0
Picking up crafting material,12,0,0.0,0.0,0.0
Place and count bead,27,0,0.0,0.0,0.0
Place another canned food on shelf,11,0,0.0,0.0,0.0
Place button,31,0,0.0,0.0,0.0
Place can on shelf,20,0,0.0,0.0,0.0
Place canned food on shelf,69,17,0.17647058823529413,0.043478260869565216,0.06976744186046512
Place cloth on floor,6,0,0.0,0.0,0.0
Place hand on table,33,0,0.0,0.0,0.0
Place item on shelf,23,0,0.0,0.0,0.0
Place items on the shelf,6,0,0.0,0.0,0.0
Place lid back,9,2,0.5,0.1111111111111111,0.1818181818181818
Place marked piece down,14,0,0.0,0.0,0.0
Place material,13,0,0.0,0.0,0.0
Place phone down,11,0,0.0,0.0,0.0
Place piece into puzzle,25,0,0.0,0.0,0.0
Place puzzle piece,21,0,0.0,0.0,0.0
Place smartphone down,24,0,0.0,0.0,0.0
Place smartphone on stand,3,0,0.0,0.0,0.0
Place towel,16,0,0.0,0.0,0.0
Placing paper strip,44,0,0.0,0.0,0.0
Preparing to craft,10,0,0.0,0.0,0.0
Put down smartphone,26,0,0.0,0.0,0.0
Reach for another item,18,0,0.0,0.0,0.0
Reach for cleaning supplies,18,0,0.0,0.0,0.0
Reach for craft items,18,0,0.0,0.0,0.0
Reach for next can,18,0,0.0,0.0,0.0
Reach for next canned food,3,0,0.0,0.0,0.0
Reach for next item,9,0,0.0,0.0,0.0
Reach for puzzle piece,16,0,0.0,0.0,0.0
Reach for wire hangers,13,0,0.0,0.0,0.0
Reach into box,9,0,0.0,0.0,0.0
Record count,18,0,0.0,0.0,0.0
Release cardboard piece and gesture,16,0,0.0,0.0,0.0
Release hook,14,0,0.0,0.0,0.0
Release lantern,13,0,0.0,0.0,0.0
Release paper strip,35,0,0.0,0.0,0.0
Release puzzle piece,4,0,0.0,0.0,0.0
Release scissors,4,0,0.0,0.0,0.0
Release smartphone,7,0,0.0,0.0,0.0
Remove cleaning bottle,11,0,0.0,0.0,0.0
Remove paper lantern part from packaging,16,18,0.0,0.0,0.0
Remove plastic packaging,8,1,0.0,0.0,0.0
Reposition hand,7,0,0.0,0.0,0.0
Resume observation,4,0,0.0,0.0,0.0
Retrieve canned food from box,12,1,0.0,0.0,0.0
Retrieve next canned food item,17,0,0.0,0.0,0.0
Retrieving more beads,5,9,0.0,0.0,0.0
Rinse cloth in sink,4,1,0.0,0.0,0.0
Scroll smartphone screen,31,0,0.0,0.0,0.0
Search for puzzle piece,20,0,0.0,0.0,0.0
Secure paper edges with adhesive,40,0,0.0,0.0,0.0
Securing paper structure,37,0,0.0,0.0,0.0
Sort and adjust button line,29,0,0.0,0.0,0.0
Sort and arrange buttons,32,2,0.0,0.0,0.0
Sort and count beads,27,0,0.0,0.0,0.0
Sort and place buttons,31,0,0.0,0.0,0.0
Sort beads,16,0,0.0,0.0,0.0
Sort beads and write count,18,0,0.0,0.0,0.0
Sort button,36,0,0.0,0.0,0.0
Sort buttons,25,0,0.0,0.0,0.0
Sort craft items,6,0,0.0,0.0,0.0
Sort puzzle pieces,34,0,0.0,0.0,0.0
Sort small craft pieces,39,0,0.0,0.0,0.0
Sort star-shaped beads,16,0,0.0,0.0,0.0
Start cutting,7,0,0.0,0.0,0.0
Stir contents,8,1,0.0,0.0,0.0
Use phone,31,3,0.3333333333333333,0.03225806451612903,0.0588235294117647
Use phone while crafting,3,0,0.0,0.0,0.0
Use smartphone,70,0,0.0,0.0,0.0
Walk towards other aisles,4,0,0.0,0.0,0.0
Walk towards shelves,9,0,0.0,0.0,0.0
Walking across the room,17,0,0.0,0.0,0.0
Walking in the hallway,13,0,0.0,0.0,0.0
Walking towards door,3,0,0.0,0.0,0.0
Washing hands in sink,10,0,0.0,0.0,0.0
Wipe kitchen counter,16,0,0.0,0.0,0.0
Wiping countertop,11,0,0.0,0.0,0.0
Write count on paper,17,0,0.0,0.0,0.0
Write on paper,13,6,0.0,0.0,0.0
sort craft materials,36,0,0.0,0.0,0.0
Approach table,0,55,0.0,0.0,0.0
