class_name,support,predicted,precision,recall,f1
Adjust lantern string and handle components,38,0,0.0,0.0,0.0
Adjusting and securing paper structure,36,58,0.0,0.0,0.0
Adjusting cookware,14,0,0.0,0.0,0.0
Adjusting paper edge and placing strip,41,0,0.0,0.0,0.0
Adjusting stock and finishing placement,20,0,0.0,0.0,0.0
Align paper lantern edges,29,0,0.0,0.0,0.0
Aligning canned goods on the shelf,17,0,0.0,0.0,0.0
Approach inventory boxes,38,0,0.0,0.0,0.0
Approaching the stove,12,0,0.0,0.0,0.0
Arrange buttons,33,0,0.0,0.0,0.0
Arrange buttons in a line,29,0,0.0,0.0,0.0
Assembling material pieces,40,0,0.0,0.0,0.0
Attempt to fit and place puzzle piece,5,0,0.0,0.0,0.0
Bending plastic strip,23,0,0.0,0.0,0.0
Browsing smartphone,32,0,0.0,0.0,0.0
Bundle display hooks,22,0,0.0,0.0,0.0
Checking cooking pot,17,0,0.0,0.0,0.0
Checking smartphone,15,0,0.0,0.0,0.0
Cleaning cloth maintenance,29,0,0.0,0.0,0.0
Cleaning kitchen surfaces,27,0,0.0,0.0,0.0
Cooking at the stove,32,0,0.0,0.0,0.0
Count beads and retrieve more,30,0,0.0,0.0,0.0
Cut along the marked line,55,0,0.0,0.0,0.0
Cut cardboard,163,0,0.0,0.0,0.0
Cutting cardboard pieces,44,0,0.0,0.0,0.0
Document bead counts,22,0,0.0,0.0,0.0
Entering the training area,45,0,0.0,0.0,0.0
Expand and adjust lantern shape,29,0,0.0,0.0,0.0
Expand paper lantern,21,0,0.0,0.0,0.0
Extract wire hangers from inventory,33,0,0.0,0.0,0.0
Final alignment of lantern edges,3,0,0.0,0.0,0.0
Finalizing shelf organization,25,0,0.0,0.0,0.0
Fold and grasp lantern,30,0,0.0,0.0,0.0
Folding plastic strip,54,0,0.0,0.0,0.0
Grasp lantern component,14,0,0.0,0.0,0.0
Greeting participants,46,0,0.0,0.0,0.0
Handle paper lantern component,14,0,0.0,0.0,0.0
Handling container lid,17,0,0.0,0.0,0.0
Handling earbud case,29,0,0.0,0.0,0.0
Handling plastic strip,28,0,0.0,0.0,0.0
Holding smartphone,27,0,0.0,0.0,0.0
Initiating assembly,28,0,0.0,0.0,0.0
Inspect shelf condition,21,0,0.0,0.0,0.0
Inspect shelf condition and observe surroundings,9,0,0.0,0.0,0.0
Install display hooks,19,0,0.0,0.0,0.0
Labeling cardboard pieces,208,0,0.0,0.0,0.0
Manipulate adhesive strip,44,0,0.0,0.0,0.0
Manipulate and release paper strips,34,0,0.0,0.0,0.0
Manipulate craft pieces,38,0,0.0,0.0,0.0
Manipulate paper decoration,44,0,0.0,0.0,0.0
Manipulate paper edge,37,0,0.0,0.0,0.0
Manipulate paper strip,44,0,0.0,0.0,0.0
Manipulate paper strips,75,0,0.0,0.0,0.0
Manipulate puzzle piece,32,0,0.0,0.0,0.0
Manipulate puzzle pieces,35,0,0.0,0.0,0.0
Manipulating beads,45,0,0.0,0.0,0.0
Manipulating plastic strip,30,0,0.0,0.0,0.0
Manipulating yellow strips,23,0,0.0,0.0,0.0
Move to stocking area,15,0,0.0,0.0,0.0
Moving around the kitchen,29,0,0.0,0.0,0.0
Moving through the room,22,0,0.0,0.0,0.0
Observe puzzle progress,27,0,0.0,0.0,0.0
Observing and pausing,4,0,0.0,0.0,0.0
Open paper lantern,8,0,0.0,0.0,0.0
Operate and release smartphone,18,0,0.0,0.0,0.0
Organize and count beads,43,0,0.0,0.0,0.0
Organizing cardboard pieces,21,0,0.0,0.0,0.0
Paper quilling craft,29,0,0.0,0.0,0.0
Pick up and place buttons,45,0,0.0,0.0,0.0
Pick up and place puzzle piece,40,0,0.0,0.0,0.0
"Pick, place, and count beads",33,0,0.0,0.0,0.0
Picking up and placing canned goods,11,0,0.0,0.0,0.0
Place and adjust items on shelf,34,0,0.0,0.0,0.0
Place and retrieve items for stocking,24,0,0.0,0.0,0.0
Place items on shelf,6,0,0.0,0.0,0.0
Place puzzle piece,21,0,0.0,0.0,0.0
Placing and retrieving canned goods,19,0,0.0,0.0,0.0
Placing canned goods on the shelf,58,0,0.0,0.0,0.0
Prepare to cut cardboard,61,0,0.0,0.0,0.0
Preparing craft area,39,0,0.0,0.0,0.0
Preparing materials,41,0,0.0,0.0,0.0
Preparing plastic strip for folding,9,0,0.0,0.0,0.0
"Reach for, pick up, and attempt to fit puzzle piece",40,0,0.0,0.0,0.0
Reaching into the box for more stock,32,0,0.0,0.0,0.0
Release and adjust puzzle piece,27,0,0.0,0.0,0.0
Release scissors and operate smartphone,44,0,0.0,0.0,0.0
Remove packaging and prepare component,28,0,0.0,0.0,0.0
Retrieving and placing canned goods,17,0,0.0,0.0,0.0
Retrieving cleaning supplies,34,0,0.0,0.0,0.0
Scrolling and placing smartphone down,24,0,0.0,0.0,0.0
Scrolling and setting down smartphone,25,0,0.0,0.0,0.0
Scrolling smartphone screen,31,0,0.0,0.0,0.0
