class_name,support,predicted,precision,recall,f1
Adjust canned food on shelf :: canned food | cardboard box | store shelf,16,0,0.0,0.0,0.0
Adjust item on shelf :: hand | packaged item | shelf,4,0,0.0,0.0,0.0
Adjust item on shelf :: hand | packaged item | shelf | stationery package,1,0,0.0,0.0,0.0
Adjust item on shelf :: shelf | stationery package,15,0,0.0,0.0,0.0
Adjust lantern shape :: red pleated paper lantern,13,0,0.0,0.0,0.0
Adjust lantern string :: red paper lantern | string,13,0,0.0,0.0,0.0
Adjust paper :: cardboard square | paper | pen | star beads,13,0,0.0,0.0,0.0
Adjust pot position :: pot,8,0,0.0,0.0,0.0
Adjust puzzle piece :: jigsaw puzzle | puzzle box | puzzle pieces,16,0,0.0,0.0,0.0
Align canned food on shelf :: canned food | cardboard box | retail shelf,17,0,0.0,0.0,0.0
Align edges of paper lantern :: hands | red paper lantern,14,0,0.0,0.0,0.0
Align paper lantern edges :: hands | paper lantern,2,0,0.0,0.0,0.0
Align paper lantern edges :: hands | paper lantern | red honeycomb paper lantern,1,0,0.0,0.0,0.0
Align paper lantern edges :: hands | red honeycomb paper lantern,4,0,0.0,0.0,0.0
Align paper lantern edges :: hands | red honeycomb paper lantern | red paper lantern,1,0,0.0,0.0,0.0
Align paper lantern edges :: hands | red paper lantern,21,0,0.0,0.0,0.0
Apply adhesive tape to lantern :: adhesive tape | red paper lantern,16,0,0.0,0.0,0.0
Approach boxes :: cardboard boxes | colleague | red bin | shelving unit,3,0,0.0,0.0,0.0
Approach boxes :: cardboard boxes | colleague | shelving unit,10,0,0.0,0.0,0.0
Approaching and pressing the door switch :: glass door | switch,1,0,0.0,0.0,0.0
Approaching and pressing the door switch :: glass door | switch | wall,22,0,0.0,0.0,0.0
Approaching the table :: beads | chairs | table,16,0,0.0,0.0,0.0
Arrange buttons :: buttons | coca-cola can | person wearing vr headset | red buttons | smartphone | table,1,0,0.0,0.0,0.0
Arrange buttons :: buttons | coca-cola can | person wearing vr headset | smartphone | table,3,0,0.0,0.0,0.0
Arrange buttons :: red buttons | smartphone | table,29,0,0.0,0.0,0.0
Arrange buttons in a line :: buttons | phone | table,29,0,0.0,0.0,0.0
Arrange star beads :: paper | pen | power bank | smartphone | star beads,17,0,0.0,0.0,0.0
Arrange star beads for counting :: paper | pen | star beads,15,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle board | puzzle box | puzzle piece,5,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle board | puzzle piece,18,0,0.0,0.0,0.0
Attempt to fit puzzle piece :: puzzle piece,4,0,0.0,0.0,0.0
Bend and manipulate plastic strip :: plastic strip,16,0,0.0,0.0,0.0
Bend and manipulate plastic strip :: plastic strip | stationary box | table | water bottle,14,0,0.0,0.0,0.0
Browse smartphone screen :: paper stars | paper strips | smartphone,4,0,0.0,0.0,0.0
Browse smartphone screen :: paper stars | paper strips | smartphone | star ornaments,1,0,0.0,0.0,0.0
Browse smartphone screen :: paper strips | smartphone | star ornaments,28,0,0.0,0.0,0.0
Bundle display hooks :: container | display hooks,17,0,0.0,0.0,0.0
Bundle display hooks :: display hook | display hooks | shelf | wire shelf,1,0,0.0,0.0,0.0
Bundle display hooks :: display hooks,3,0,0.0,0.0,0.0
Bundle display hooks :: display hooks | shelf,1,0,0.0,0.0,0.0
Closing the door :: door,4,0,0.0,0.0,0.0
Closing the door :: door | dustpan,7,0,0.0,0.0,0.0
Counting and organizing beads :: cardboard squares | paper | pen | star-shaped beads,15,0,0.0,0.0,0.0
Counting and organizing beads :: paper | pen | star-shaped beads,5,0,0.0,0.0,0.0
Counting star beads :: paper | pen | star beads,17,0,0.0,0.0,0.0
Cut along the marked line :: cardboard | hand | utility knife,55,0,0.0,0.0,0.0
Cut cardboard :: cardboard | desk | metal ruler | pen | ruler | utility knife,2,0,0.0,0.0,0.0
Cut cardboard :: cardboard | desk | metal ruler | phone | utility knife,2,0,0.0,0.0,0.0
Cut cardboard :: cardboard | desk | metal ruler | utility knife,13,0,0.0,0.0,0.0
