class_id,class_name,support,predicted,precision,recall,f1
0,Place jar on shelf,0,0,0.0,0.0,0.0
1,Reach for item in box,0,1,0.0,0.0,0.0
2,Pick up product from box,0,1,0.0,0.0,0.0
3,Place product on shelf,0,151,0.0,0.0,0.0
4,Pick up product from bin,0,6,0.0,0.0,0.0
5,Reach for next product,0,0,0.0,0.0,0.0
6,Place canned product on shelf,0,0,0.0,0.0,0.0
7,Pick up canned product,0,0,0.0,0.0,0.0
8,Arrange canned products on shelf,0,0,0.0,0.0,0.0
9,Move bin to shelf area,0,0,0.0,0.0,0.0
10,Place can on shelf,20,0,0.0,0.0,0.0
11,Retract hand,0,1,0.0,0.0,0.0
12,Hold and wipe product,0,0,0.0,0.0,0.0
13,Wipe down shelf,0,0,0.0,0.0,0.0
14,Pick up product,0,6,0.0,0.0,0.0
15,Wipe product,0,7,0.0,0.0,0.0
16,Wipe food product,0,4,0.0,0.0,0.0
17,Reach into box,9,2,0.0,0.0,0.0
18,Wipe jar,0,0,0.0,0.0,0.0
19,Wipe shelf,0,1,0.0,0.0,0.0
20,Hold pickle jar,0,0,0.0,0.0,0.0
21,Release pickle jar,0,0,0.0,0.0,0.0
22,Hold cleaning cloth,0,1,0.0,0.0,0.0
23,Wipe the shelf,0,0,0.0,0.0,0.0
24,Wipe the product jar,0,0,0.0,0.0,0.0
25,Move to next section,0,10,0.0,0.0,0.0
26,Place product in box,0,0,0.0,0.0,0.0
27,Hold product,0,2,0.0,0.0,0.0
28,Hold item and adjust posture,0,1,0.0,0.0,0.0
29,Grasp product from box,0,0,0.0,0.0,0.0
30,Prepare to place product,0,1,0.0,0.0,0.0
31,Move product to shelf,0,0,0.0,0.0,0.0
32,Move product to box,0,1,0.0,0.0,0.0
33,Grasp next item,0,0,0.0,0.0,0.0
34,Align button in row,0,1,0.0,0.0,0.0
35,Pick up button,9,1,0.0,0.0,0.0
36,Place button in row,0,0,0.0,0.0,0.0
37,Align button,0,0,0.0,0.0,0.0
38,Arrange button cluster,0,0,0.0,0.0,0.0
39,Align button row,0,1,0.0,0.0,0.0
40,Arrange buttons on table,0,0,0.0,0.0,0.0
41,Adjust red button in row,0,1,0.0,0.0,0.0
42,Select button from pile,0,5,0.0,0.0,0.0
43,Adjust red button,0,0,0.0,0.0,0.0
44,Pull back hand,0,0,0.0,0.0,0.0
45,Survey the table,0,2,0.0,0.0,0.0
46,Arrange black buttons,0,3,0.0,0.0,0.0
47,Pick up black button,0,0,0.0,0.0,0.0
48,Move black button,0,0,0.0,0.0,0.0
49,Pick up red button,0,0,0.0,0.0,0.0
50,Reach for multicolored buttons,0,3,0.0,0.0,0.0
51,Arrange buttons in row,0,0,0.0,0.0,0.0
52,Touch device,0,0,0.0,0.0,0.0
53,Align red button in row,0,0,0.0,0.0,0.0
54,Reach and sort buttons,0,0,0.0,0.0,0.0
55,Reach for button,0,0,0.0,0.0,0.0
56,Place button,31,0,0.0,0.0,0.0
57,Cut cardboard piece,40,0,0.0,0.0,0.0
58,Manipulate cardboard piece,0,1,0.0,0.0,0.0
59,Position scissors to cut cardboard,0,0,0.0,0.0,0.0
60,Cut cardboard,174,231,0.021645021645021644,0.028735632183908046,0.024691358024691357
61,Release scissors,4,1,0.0,0.0,0.0
62,Position scissors,0,0,0.0,0.0,0.0
63,Pick up scissors,0,0,0.0,0.0,0.0
64,Move away from workstation,0,0,0.0,0.0,0.0
65,Walk through corridor,0,0,0.0,0.0,0.0
66,Mark cardboard with ruler and pen,0,0,0.0,0.0,0.0
67,Mark cardboard with pen and ruler,0,0,0.0,0.0,0.0
68,Cut cardboard with scissors,0,0,0.0,0.0,0.0
69,Place down scissors,0,0,0.0,0.0,0.0
70,Position ruler on cardboard,0,1,0.0,0.0,0.0
71,Hold ruler steady,0,0,0.0,0.0,0.0
72,Mark line on cardboard,0,2,0.0,0.0,0.0
73,Move marker and ruler,0,0,0.0,0.0,0.0
74,Pick up smartphone,6,4,0.0,0.0,0.0
75,Mark cardboard,0,0,0.0,0.0,0.0
76,Hold cardboard pieces,0,0,0.0,0.0,0.0
77,Place cardboard,0,1,0.0,0.0,0.0
78,Align ruler on cardboard,0,9,0.0,0.0,0.0
79,Mark cardboard with pen,0,0,0.0,0.0,0.0
80,Plug cable into portable charger,0,0,0.0,0.0,0.0
81,Pick up portable charger,0,0,0.0,0.0,0.0
82,Walk towards room,0,0,0.0,0.0,0.0
83,Hold portable charger,0,0,0.0,0.0,0.0
84,Place charger on table,0,0,0.0,0.0,0.0
85,Hold charger and cable,0,0,0.0,0.0,0.0
86,Manipulate power cable plug,0,0,0.0,0.0,0.0
87,Insert plug into power adapter,0,0,0.0,0.0,0.0
88,Hold power adapter,0,0,0.0,0.0,0.0
89,Align charging cable,0,0,0.0,0.0,0.0
90,Insert charging cable,0,0,0.0,0.0,0.0
91,Observe desktop layout,0,0,0.0,0.0,0.0
92,Retract camera/reposition view,0,0,0.0,0.0,0.0
93,Manipulate paper strip,152,0,0.0,0.0,0.0
94,Fold paper strip,0,313,0.0,0.0,0.0
95,Pick up yellow paper strip,0,0,0.0,0.0,0.0
96,Pick up phone,0,4,0.0,0.0,0.0
97,Use phone,31,12,0.0,0.0,0.0
98,Place phone on desk,0,2,0.0,0.0,0.0
99,Interact with phone,0,1,0.0,0.0,0.0
100,Place phone down,11,4,0.0,0.0,0.0
101,Adjust paper strip,0,10,0.0,0.0,0.0
102,Release folded paper,0,4,0.0,0.0,0.0
103,Fold paper strip into knot,0,0,0.0,0.0,0.0
104,Fold paper strip into lucky star,0,0,0.0,0.0,0.0
105,Inflate paper star,0,0,0.0,0.0,0.0
106,Fold purple paper strip,0,0,0.0,0.0,0.0
107,Fold purple paper,0,0,0.0,0.0,0.0
108,Hold and crease purple paper,0,1,0.0,0.0,0.0
109,Release paper,0,0,0.0,0.0,0.0
110,Reach for phone,0,0,0.0,0.0,0.0
111,Retrieve paper strips,0,0,0.0,0.0,0.0
112,Fold and organize paper strips,0,2,0.0,0.0,0.0
113,Hold charger,0,0,0.0,0.0,0.0
114,Separate cardboard piece,0,0,0.0,0.0,0.0
115,Cut cardboard with utility knife,0,0,0.0,0.0,0.0
116,Mark cardboard piece,85,0,0.0,0.0,0.0
117,Retract hand from bag,0,5,0.0,0.0,0.0
118,Open small case,0,2,0.0,0.0,0.0
119,Measure cardboard with ruler,0,2,0.0,0.0,0.0
120,Move smartphone,28,1,0.0,0.0,0.0
121,Hold ruler on cardboard,0,3,0.0,0.0,0.0
122,Remove ruler,0,0,0.0,0.0,0.0
123,Walk towards table,0,0,0.0,0.0,0.0
124,Approach desk,0,0,0.0,0.0,0.0
125,Position hands for work,0,1,0.0,0.0,0.0
126,Manipulate quilling strip,0,0,0.0,0.0,0.0
127,Release quilling strip,0,0,0.0,0.0,0.0
128,Release paper strip,35,0,0.0,0.0,0.0
129,Begin rolling quilling strip,0,1,0.0,0.0,0.0
130,Type on smartphone,0,26,0.0,0.0,0.0
131,Use phone to check stock,0,0,0.0,0.0,0.0
132,Grasp package,0,1,0.0,0.0,0.0
133,Place item on shelf,23,109,0.0,0.0,0.0
134,Observe shelf status,0,2,0.0,0.0,0.0
135,Walk towards aisle,0,3,0.0,0.0,0.0
136,Move towards shelf,0,1,0.0,0.0,0.0
137,Adjust item on shelf,26,0,0.0,0.0,0.0
138,Reach for another item,18,1,0.0,0.0,0.0
139,Remove item from shelf,0,0,0.0,0.0,0.0
140,Discard item into bin,0,3,0.0,0.0,0.0
141,Sweep debris,0,8,0.0,0.0,0.0
142,Touch shelf edge,0,1,0.0,0.0,0.0
143,Reach for product,0,0,0.0,0.0,0.0
144,Release label,0,0,0.0,0.0,0.0
145,Remove shelf label,0,1,0.0,0.0,0.0
146,Move along shelf,0,0,0.0,0.0,0.0
147,Carry stool to next shelf,0,0,0.0,0.0,0.0
148,Place stool on floor,0,1,0.0,0.0,0.0
149,Observe shelf,0,2,0.0,0.0,0.0
150,Walk towards next aisle,0,0,0.0,0.0,0.0
151,Reach for product labels,0,0,0.0,0.0,0.0
152,Hold product labels,0,3,0.0,0.0,0.0
153,Examine labels,0,0,0.0,0.0,0.0
154,Place sauce in container,0,0,0.0,0.0,0.0
155,Pick up supplement bottle,0,0,0.0,0.0,0.0
156,Hold supplement bottle,0,0,0.0,0.0,0.0
157,Open supplement bottle,0,0,0.0,0.0,0.0
158,Walk through store,0,0,0.0,0.0,0.0
159,Reach for item on shelf,0,0,0.0,0.0,0.0
160,Examine item,0,0,0.0,0.0,0.0
161,Place item in container,0,0,0.0,0.0,0.0
162,Pick up another item,0,1,0.0,0.0,0.0
163,Pick up oil bottle,0,0,0.0,0.0,0.0
164,Place oil in container,0,0,0.0,0.0,0.0
165,Inspect supplement bottle,0,3,0.0,0.0,0.0
166,Place supplement bottle in container,0,0,0.0,0.0,0.0
167,Pick up spice jar,0,0,0.0,0.0,0.0
168,Place spice jar in container,0,0,0.0,0.0,0.0
169,Sort beads,16,74,0.0,0.0,0.0
170,Adjust hand position,0,0,0.0,0.0,0.0
171,Arrange star-shaped beads,0,0,0.0,0.0,0.0
172,Move pen,0,1,0.0,0.0,0.0
173,Sort beads by color,0,12,0.0,0.0,0.0
174,Move towards table,0,0,0.0,0.0,0.0
175,Observe room,0,1,0.0,0.0,0.0
176,Check watch,0,2,0.0,0.0,0.0
177,Prepare to sort beads,0,1,0.0,0.0,0.0
178,Align ruler,0,0,0.0,0.0,0.0
179,Adjust grip,0,1,0.0,0.0,0.0
180,Move ruler,0,0,0.0,0.0,0.0
181,Adjust ruler position,0,0,0.0,0.0,0.0
182,Mark cardboard with marker,0,0,0.0,0.0,0.0
183,Draw lines on cardboard,0,1,0.0,0.0,0.0
184,Drawing lines on cardboard,0,0,0.0,0.0,0.0
185,Reposition marker,0,0,0.0,0.0,0.0
186,Mark lines with marker,0,0,0.0,0.0,0.0
187,Position the ruler,0,0,0.0,0.0,0.0
188,Stack cardboard pieces,0,0,0.0,0.0,0.0
189,Walking in the workspace,0,0,0.0,0.0,0.0
190,Insert charging cable into power bank,0,0,0.0,0.0,0.0
191,Manipulate and inspect colorful pieces,0,0,0.0,0.0,0.0
192,Manipulate colorful pieces,0,0,0.0,0.0,0.0
193,Sort colorful pieces,0,0,0.0,0.0,0.0
194,Hold power bank and cable,0,0,0.0,0.0,0.0
195,Touch pieces in box,0,0,0.0,0.0,0.0
196,Hold small white box,0,1,0.0,0.0,0.0
197,Place white box on table,0,0,0.0,0.0,0.0
198,Adjust smartphone and sort pieces,0,0,0.0,0.0,0.0
199,Sort small colorful pieces,0,1,0.0,0.0,0.0
200,Sorting colorful paper pieces,0,0,0.0,0.0,0.0
201,Use phone to check instructions,0,31,0.0,0.0,0.0
202,Trace pattern on cardboard,0,4,0.0,0.0,0.0
203,Remove cardboard pattern,0,7,0.0,0.0,0.0
204,Remove cardboard pattern piece,0,2,0.0,0.0,0.0
205,Cut out cardboard pattern,0,9,0.0,0.0,0.0
206,Cut cardboard pattern,0,12,0.0,0.0,0.0
207,Adjust cardboard position,0,4,0.0,0.0,0.0
208,Interact with smartphone screen,0,1,0.0,0.0,0.0
209,Pick up metal ruler,0,0,0.0,0.0,0.0
210,Pick up pen,8,0,0.0,0.0,0.0
211,Move pen aside,0,9,0.0,0.0,0.0
