task,task_display,variant,variant_display,status,primary_metric,primary_value,higher_is_better,feature_dim,num_train,num_test,input_contract,target_variant,reason,accuracy,macro_f1,balanced_accuracy,num_classes,unseen_test_classes,unseen_test_class_count,mse,mae,r2,target_dim,micro_f1,exact_match,precision,recall,num_objects,mrr,top1_accuracy,top5_accuracy,top10_accuracy,median_rank,mean_rank,num_queries
timeline_action,Current Action Recognition,all_handcrafted_audio,All Current Features,computed,macro_f1,0.00905456968081885,true,8546,813,348,task contract feature blocks with handcrafted AAC audio where applicable (8546 dims),,,0.017241379310344827,0.00905456968081885,0.01720647773279352,19,"['Place item on table', 'Wait/Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,all_except_audio,All Except Audio,computed,macro_f1,0.008771929824561405,true,8378,813,348,same task contract with handcrafted AAC audio columns removed (8378 dims),,,0.020114942528735632,0.008771929824561405,0.005668016194331984,19,"['Place item on table', 'Wait/Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,handcrafted_audio_only,Handcrafted AAC Audio Only,computed,macro_f1,0.006925207756232688,true,168,813,348,handcrafted AAC audio block only (168 dims),,,0.014367816091954023,0.006925207756232688,0.004048582995951417,19,"['Place item on table', 'Wait/Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,raw_logmel_audio_only,Raw Log-Mel Audio Only,computed,macro_f1,0.0,true,588,813,348,raw waveform log-mel embedding only (588 dims),,,0.0,0.0,0.0,19,"['Place item on table', 'Wait/Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,replace_handcrafted_with_raw,Replace AAC Block With Raw Log-Mel,computed,macro_f1,0.0013495276653171392,true,8966,813,348,task contract with handcrafted AAC removed and raw log-mel added (8966 dims),,,0.0028735632183908046,0.0013495276653171392,0.0008097165991902835,19,"['Place item on table', 'Wait/Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,all_plus_raw_logmel,All Current Features + Raw Log-Mel,computed,macro_f1,0.002734107997265892,true,9134,813,348,task contract with existing handcrafted AAC plus raw log-mel (9134 dims),,,0.005747126436781609,0.002734107997265892,0.001619433198380567,19,"['Place item on table', 'Wait/Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,all_handcrafted_audio,All Current Features,computed,macro_f1,0.011256354393609296,true,8546,813,348,task contract feature blocks with handcrafted AAC audio where applicable (8546 dims),,,0.02586206896551724,0.011256354393609296,0.02788220551378446,15,"['Move bottle to coffee equipment', 'Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,all_except_audio,All Except Audio,computed,macro_f1,0.0111731843575419,true,8378,813,348,same task contract with handcrafted AAC audio columns removed (8378 dims),,,0.040229885057471264,0.0111731843575419,0.017543859649122806,15,"['Move bottle to coffee equipment', 'Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,handcrafted_audio_only,Handcrafted AAC Audio Only,computed,macro_f1,0.016194331983805668,true,168,813,348,handcrafted AAC audio block only (168 dims),,,0.022988505747126436,0.016194331983805668,0.010796221322537112,15,"['Move bottle to coffee equipment', 'Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,raw_logmel_audio_only,Raw Log-Mel Audio Only,computed,macro_f1,0.0016722408026755855,true,588,813,348,raw waveform log-mel embedding only (588 dims),,,0.0028735632183908046,0.0016722408026755855,0.001349527665317139,15,"['Move bottle to coffee equipment', 'Prepare for pouring', 'Pour coffee', 'Pour milk into coffee']",4,,,,,,,,,,,,,,,,
