class_name,support,predicted,precision,recall,f1
Adjust lantern string and handle components,3,0,0.0,0.0,0.0
Adjusting and securing paper structure,4,0,0.0,0.0,0.0
Adjusting cookware,2,0,0.0,0.0,0.0
Adjusting paper edge and placing strip,4,2,0.0,0.0,0.0
Adjusting stock and finishing placement,2,0,0.0,0.0,0.0
Align paper lantern edges,2,0,0.0,0.0,0.0
Approach inventory boxes,7,0,0.0,0.0,0.0
Arrange buttons,2,0,0.0,0.0,0.0
Arrange buttons in a line,7,0,0.0,0.0,0.0
Assembling material pieces,3,0,0.0,0.0,0.0
Bending plastic strip,2,0,0.0,0.0,0.0
Browsing smartphone,3,0,0.0,0.0,0.0
Checking cooking pot,2,0,0.0,0.0,0.0
Checking smartphone,7,0,0.0,0.0,0.0
Cleaning cloth maintenance,3,0,0.0,0.0,0.0
Cleaning kitchen surfaces,4,363,0.011019283746556474,1.0,0.021798365122615803
Cooking at the stove,5,0,0.0,0.0,0.0
Count beads and retrieve more,4,0,0.0,0.0,0.0
Cut along the marked line,7,0,0.0,0.0,0.0
Cutting cardboard pieces,3,0,0.0,0.0,0.0
Document bead counts,3,0,0.0,0.0,0.0
Entering the training area,6,0,0.0,0.0,0.0
Expand and adjust lantern shape,6,0,0.0,0.0,0.0
Expand paper lantern,3,0,0.0,0.0,0.0
Extract wire hangers from inventory,3,0,0.0,0.0,0.0
Final alignment of lantern edges,2,0,0.0,0.0,0.0
Finalizing shelf organization,3,0,0.0,0.0,0.0
Finish cutting along the marked line and reposition,3,0,0.0,0.0,0.0
Fold and grasp lantern,3,0,0.0,0.0,0.0
Greeting participants,5,0,0.0,0.0,0.0
Handle paper lantern component,1,0,0.0,0.0,0.0
Handling container lid,1,0,0.0,0.0,0.0
Handling earbud case,6,0,0.0,0.0,0.0
Handling plastic strip,6,0,0.0,0.0,0.0
Holding smartphone,1,0,0.0,0.0,0.0
Initiating assembly,7,0,0.0,0.0,0.0
Inspect shelf condition,1,0,0.0,0.0,0.0
Install display hooks,1,0,0.0,0.0,0.0
Labeling cardboard pieces,13,0,0.0,0.0,0.0
Manipulate adhesive strip,5,0,0.0,0.0,0.0
Manipulate craft pieces,2,0,0.0,0.0,0.0
Manipulate paper edge,8,0,0.0,0.0,0.0
Manipulate paper strip,2,0,0.0,0.0,0.0
Manipulate paper strips,15,0,0.0,0.0,0.0
Manipulate puzzle pieces,6,0,0.0,0.0,0.0
Manipulating beads,6,0,0.0,0.0,0.0
Manipulating plastic strip,1,0,0.0,0.0,0.0
Manipulating yellow strips,2,0,0.0,0.0,0.0
Moving around the kitchen,4,0,0.0,0.0,0.0
Observing and pausing,6,0,0.0,0.0,0.0
Organize and count beads,7,0,0.0,0.0,0.0
Organizing cardboard pieces,5,0,0.0,0.0,0.0
Paper quilling craft,3,0,0.0,0.0,0.0
Pick up and place buttons,6,0,0.0,0.0,0.0
Pick up and place puzzle piece,4,0,0.0,0.0,0.0
"Pick, place, and count beads",5,0,0.0,0.0,0.0
Place and adjust items on shelf,6,1,0.0,0.0,0.0
Place and retrieve items for stocking,2,0,0.0,0.0,0.0
Place puzzle piece,3,0,0.0,0.0,0.0
Placing and retrieving canned goods,2,0,0.0,0.0,0.0
Placing canned goods on the shelf,1,0,0.0,0.0,0.0
Prepare to cut cardboard,17,0,0.0,0.0,0.0
Preparing craft area,4,2,0.0,0.0,0.0
Preparing materials,5,0,0.0,0.0,0.0
"Reach for, pick up, and attempt to fit puzzle piece",7,0,0.0,0.0,0.0
Reaching into the box for more stock,1,0,0.0,0.0,0.0
Release and adjust puzzle piece,3,0,0.0,0.0,0.0
Release scissors and operate smartphone,10,1,0.0,0.0,0.0
Remove packaging and prepare component,2,0,0.0,0.0,0.0
Retrieving cleaning supplies,4,0,0.0,0.0,0.0
Scrolling and placing smartphone down,3,0,0.0,0.0,0.0
Scrolling and setting down smartphone,3,2,0.0,0.0,0.0
Scrolling smartphone screen,2,0,0.0,0.0,0.0
Search for and pick up puzzle piece,2,0,0.0,0.0,0.0
Secure lantern with adhesive,3,0,0.0,0.0,0.0
Secure paper edges with adhesive,4,0,0.0,0.0,0.0
Setting up smartphone,1,0,0.0,0.0,0.0
Sort and adjust button line,3,0,0.0,0.0,0.0
Sort and arrange buttons,3,0,0.0,0.0,0.0
Sort and group beads,2,0,0.0,0.0,0.0
Sort and record bead counts,2,0,0.0,0.0,0.0
Sort beads and record count,4,0,0.0,0.0,0.0
Sort buttons,3,0,0.0,0.0,0.0
Sort puzzle pieces,2,0,0.0,0.0,0.0
Stocking multiple cans on the shelf,5,0,0.0,0.0,0.0
Tidying workspace,1,2,0.0,0.0,0.0
Transitioning to smartphone usage,3,2,0.5,0.3333333333333333,0.4
Unpack additional lantern component,2,0,0.0,0.0,0.0
Unpack and place items on shelf,7,3,0.3333333333333333,0.14285714285714285,0.2
Use smartphone,3,0,0.0,0.0,0.0
Using phone and resuming work,2,0,0.0,0.0,0.0
Using smartphone,5,0,0.0,0.0,0.0
Working with paper strips,7,0,0.0,0.0,0.0
Working with paper strips and using phone,2,0,0.0,0.0,0.0
